Index,Date,Type Code,Type Name,Type Shortname,Account,Amount,Amount Currency Full,Amount Currency,Account To,Amount To,Amount To Currency Full,Amount To Currency,Balance,Balance Currency Full,Balance Currency,Base Category,Sub Category,Full Category,Description,Agent,Check number,Class
180,25 Jul 2020 22:03:59,3,Income,TIN,Saving Account (Kept),50,Thai Baht,THB,,0,Unknown,UKN,150050,Thai Baht,THB,Gifts,,Gifts,,Kept,,
181,25 Jul 2020 22:31:16,2,Expense,TEP,True wallet,91.5,Thai Baht,THB,,0,Unknown,UKN,0,Thai Baht,THB,Food,Groceries,Food: Groceries,,7-11,,
182,26 Jul 2020 15:21:38,5,Money Transfer,TMT,Primary (KBank),900,Thai Baht,THB,Wallet,900,Thai Baht,THB,5113.06,Thai Baht,THB,,,,,,,
183,26 Jul 2020 15:28:32,2,Expense,TEP,Wallet,520,Thai Baht,THB,,0,Unknown,UKN,840,Thai Baht,THB,Food,Dinner,Food: Dinner,,,,
184,28 Jul 2020 00:07:12,3,Income,TIN,Saving Account (Kept),13.16,Thai Baht,THB,,0,Unknown,UKN,150063.16,Thai Baht,THB,Interest,,Interest,,,,
185,30 Jul 2020 00:46:46,2,Expense,TEP,Wisdom (KBank),147,Thai Baht,THB,,0,Unknown,UKN,1015066.93,Thai Baht,THB,Digital Shopping,Game Digital Shopping,Digital Shopping: Game Digital Shopping: Game Digital Shopping: Game,,,,
186,30 Jul 2020 01:33:50,3,Income,TIN,Primary (KBank),45355.42,Thai Baht,THB,,0,Unknown,UKN,50468.48,Thai Baht,THB,Salary,,Salary,,Agoda,,
187,31 Jul 2020 11:14:34,2,Expense,TEP,Wisdom (KBank),3809.56,Thai Baht,THB,,0,Unknown,UKN,1011257.37,Thai Baht,THB,Traveling,Accommodation,Traveling: Accommodation,For mum,Rungnapa,,
188,1 Aug 2020 09:00:31,2,Expense,TEP,Primary (KBank),2390,Thai Baht,THB,,0,Unknown,UKN,48078.48,Thai Baht,THB,Gift,Birthday,Gift: Birthday,iPhone 11  Auto-generated transaction,Rungnapa,,
189,1 Aug 2020 10:00:12,1,Opening Balance,TOB,Traveling (KcNt),27977.69,Thai Baht,THB,,0,Unknown,UKN,27977.69,Thai Baht,THB,,,,,,,
190,1 Aug 2020 10:00:13,5,Money Transfer,TMT,Primary (KBank),1000,Thai Baht,THB,Traveling (KcNt),1000,Thai Baht,THB,47078.48,Thai Baht,THB,,,,For daily spending  Auto-generated transaction,,,Couple
